	authorid	author_name	affiliation	emails
186	~Felix_Hill1	Felix Hill	Computer Laboratory	****@cl.cam.ac.uk, ****@google.com
187	~Pushmeet_Kohli1	Pushmeet Kohli	Google DeepMind	****@microsoft.com, ****@google.com, ****@gmail.com
188	~Casper_Hansen1	Casper Hansen	University of Copenhagen	****@di.ku.dk
189	~Jakob_Grue_Simonsen1	Jakob Simonsen	University of Copenhagen	****@di.ku.dk
190	~Christina_Lioma1	Christina Lioma	University of Copenhagen	****@di.ku.dk
191	~Wieland_Brendel1	Wieland Brendel	University of Tuebingen	****@bethgelab.org, ****@uni-tuebingen.de
192	~Matthias_Bethge1	Matthias Bethge	University of Tuebingen	****@bethgelab.org, ****@uni-tuebingen.de, ****@tuebingen.mpg.de, ****@uni-tuebingen.de, ****@bethgelab.org
193	~Hongyang_Li1	Hongyang Li	SenseTime	****@ee.cuhk.edu.hk, ****@gmail.com, ****@clarifai.com, ****@sensetime.com
194	~Bo_Dai2	Bo Dai	Shanghai AI Laboratory	****@gmail.com, ****@ie.cuhk.edu.hk, ****@ie.cuhk.edu.hk, ****@ntu.edu.sg, ****@pjlab.org.cn
195	~Shaoshuai_Shi1	Shaoshuai Shi	The Chinese University of Hong Kong	****@link.cuhk.edu.hk, ****@ee.cuhk.edu.hk, ****@gmail.com
196	~Wanli_Ouyang1	Wanli Ouyang	University of Sydney	****@gmail.com, ****@sydney.edu.au
197	~Kamyar_Azizzadenesheli1	Kamyar Azizzadenesheli	Purdue University	****@uci.edu, ****@gmail.com, ****@gmail.com, ****@caltech.edu, ****@purdue.edu
198	~Anqi_Liu2	Anqi Liu	University of Illinois, Chicago	****@caltech.edu, ****@uic.edu, ****@gmail.com, ****@cs.jhu.edu
199	~Fanny_Yang1	Fanny Yang	Swiss Federal Institute of Technology	****@berkeley.edu, ****@stat.math.ethz.ch, ****@stanford.edu, ****@inf.ethz.ch
200	~anima_anandkumar1	anima anandkumar	University of California, Irvine	****@gmail.com, ****@caltech.edu, ****@amazon.com, ****@uci.edu, ****@nvidia.com
201	~Yulun_Zhang1	Yulun Zhang	Swiss Federal Institute of Technology	****@gmail.com, ****@vision.ee.ethz.ch, ****@northeastern.edu, ****@ethz.ch
202	~Kunpeng_Li1	Kunpeng Li	Northeastern University	****@coe.neu.edu, ****@ece.neu.edu
203	~Kai_Li3	Kai Li	Northeastern University	****@gmail.com
204	~Bineng_Zhong1	Bineng Zhong	Guangxi Normal University	****@hqu.edu.cn, ****@gmail.com
205	~Yun_Fu1	Yun Fu	Northeastern University	****@ece.neu.edu
206	~Alice_Schoenauer_Sebag1	Alice Schoenauer Sebag	Twitter	****@polytechnique.org
207	~Marc_Schoenauer1	Marc Schoenauer	INRIA	****@inria.fr
208	~Michele_Sebag1	Michele Sebag	CNRS, Université Paris-Saclay	****@lri.fr, ****@lri.fr
209	~Aditya_Grover1	Aditya Grover	University of California, Los Angeles	****@cs.stanford.edu, ****@gmail.com, ****@stanford.edu, ****@fb.com
210	~Eric_James_Wang1	Eric Wang	Stanford University	****@stanford.edu, ****@cs.stanford.edu
211	~Aaron_Zweig2	Aaron Zweig	New York University	****@nyu.edu, ****@cs.stanford.edu
212	~Stefano_Ermon1	Stefano Ermon	Stanford University	****@cs.stanford.edu, ****@gmail.com, ****@stanford.edu
213	~Haohan_Wang1	Haohan Wang	Carnegie Mellon University	****@cs.cmu.edu
214	~Zexue_He1	Zexue He	CSE, University of California, San Diego	****@mail.bnu.edu.cn, ****@mail.bnu.edu.cn, ****@eng.ucsd.edu
215	~Zachary_Chase_Lipton1	Zachary Lipton	Carnegie Mellon University	****@cs.ucsd.edu, ****@cmu.edu, ****@amazon.com, ****@eng.ucsd.edu
